Get / Keep / Grow,CMO Priority (Value),Use Case (Outcomes),Marketing Activity (Tactical),"What's Included (Features, Specifics for Demo)",Metric,Use Case tactics tied to features,Customer Story / How they talk about it,,,Channel
3-GROW,Increase customer loyalty,Grow advocates; build loyalty,Circulate Newsletters & Customer Communications,"Email marketing
Send time optimization
Personalization
Segmentation
Act-On Analytics Reporting and Alerts
Segmentation
APs
Surveys
Webinar/Community Zoom
Social Media management",Social advocacy; customer scoring; NPS survey sends and customer success identification,"Regularly automate feedback requests and surveys to understand your customers’ needs and preferences better. 

ID engaged customers and automatically invite them to join your brand’s online community or customer advisory board.

Establish automated email series or drip campaigns that provide educational content about your products, industry, or related topics.

Create automated VIP programs that offer exclusive benefits to your most loyal customers.

Set up automated emails that regularly check in with your customers, update them about what’s new with your brand, and provide valuable content. ",Customer Communications & Newsletters,Newsletters; product announcement email sends,,
,,Automate internal & partner communications,Build awareness of new products/services; ensure organizational alignment,"Segment
Create and run APs to customers
Knowledge transfer webinars
Use SMS and Social channels depending on need
Track and report engagement
Automate transactional emails - ETE",,,,,,
,Maximize Customer Revenue (ARPU),Cross-sell,"Develop programs and automated programs to engage customer base on cross-sell opportunities; Promote products or new capabilities; Outreach through multiplte channels; Drive towards LP, form, or other trigger event","Automated programs 
Lead nurture 
Automated lead scoring system
Act-On Beacon 
Act-On Attribution Report integrated with CRM
Segmentation
Personalization
Event-Triggered Email",,"Use customer data to segment your audience based on their purchase history, product usage, and engagement level. Target these segments with personalized upsell opportunities that are relevant to their specific needs or business challenges.

Create automated email campaigns that offer upsells/cross-sells. These can be triggered at certain points in the customer lifecycle, such as after a set period of product usage or following a service interaction.

Offer valuable content through ad hoc emails and automated programs that educate customers about the benefits and uses of higher-tier products (upsell) or additional new products/features (cross-sell). This could be through automated webinars, e-books, or tailored blog posts.

Integrate with your CRM to ensure a seamless flow of data. This allows for better tracking of customer interactions and more personalized upsell/cross-sell opportunities.

Win back lost customers through targeted personalized win-back offers and content addressing why they churned.

Encourage increased usage and engagement with products through triggered campaigns using behavioral insights highlighting unused features, services, and/or consumption-based incentives.

Continually increase perceived value and ROI of products through loyalty automated program nurture tracks and drip-based educational content and training, etc.",,,,
,,Up-sell,,,,,,,,
4-OPTIMIZE,Maximizing MROI,Improve marketing performance,AP's; triggered events; omni-channel programs; sales alignment,"Email 
Social media
Lead nurturing 
Automated email sequences 
Templates for emails, landing pages, and social media posts
CRM system ",," Use automation tools to handle repetitive tasks such as email campaigns, social media posting, and lead nurturing, freeing up time for your team to focus on more strategic activities.

Develop automated email sequences for different purposes like nurturing leads, onboarding new customers, or re-engaging inactive customers.

Create templates for emails, landing pages, and social media posts to standardize and speed up content creation.

Integrate with your CRM system for a unified view of customer interactions, enabling more personalized and effective marketing strategies.",,,,
,,Be a data-driven marketing org,Multi-channel campaigns; Lead nurturing; lead scoring; attribution,"Automated programs 
Lead nurture 
Automated lead scoring system
Act-On Beacon 
Act-On Attribution Report integrated with CRM",,"Automate and coordinate campaigns across multiple channels (email, social media, web, etc.) for a unified and consistent marketing message.

Utilize automated programs to nurture leads with targeted content, guiding them through the sales funnel. 

Implement an automated lead scoring system that ranks prospects based on their engagement level, demographic information, and behavior. 

Use marketing automation tools to track and attribute conversions to specific marketing activities.",,,,
,,Scale marketing output,"Aggregate, centralize, manage, and score ALL leads; Sync with other systems, including CRM; Track lead behavior","Central marketing database
Bi-directional CRM sync
Lead scoring
Single source of all lead activity
Progressive profiling",,"Consolidated, centralized database enabling respectful, coordinated, and timely campaigns.

Bi-directional CRM sync ensures up-to-date data and funnel stage to align sales and marketing. 

Flexible and customizable lead scoring ensures marketing delivers high-quality and timely leads for sales.

Avoiding contact duplicate data and redundant outreach that misses the mark due to a lack of context and meaningful segmentation; a single source of all lead activity empowers marketers to engage with higher-quality prospects and fewer campaigns confidently.",,,,
,,Create a single source of truth for Marketing,Share and integrate data across systems,Integrated CRMs; Contact report; Account report,,Integrated CRMs; Contact report; Account report,,,,
,,Marketing/Sales Insights,"Tracking, measuring, attributing","Reporting (Analytics, Attribution, Campaign, BU...)",,,I need to provide KPI's to leadership or business to determine opportunities or challenges and other intel,,,
,,Inform audience of key or required info,"Email campaigns (newsletters, alerts, statements, etc.)",Transactional Email (ETE),,,,,,
,,,,,,,,,,
,,Drive a consistent brand experience,Centralize your email templates and marketing assets,"Marketing Network
Transactional email
Event-triggered-email",,"Use Act-On's Marketing Network to share automated programs, templates, and other marketing assets across business units, subsidiaries, and clients to ensure on-brand campaigns that save time. 

Consolidate the creation and management of your email marketing by using Act-On for your commercial, transactional and event-triggered email needs. ","Drive consistent brand experience through prospecting emails (AP), sales emails, Customer Comms emails, social engagement, and transactional emails to customers. Landing pages. across all engagement channels. ",,,
